id,year,income
12095,2010,34794
12095,2011,36333
12095,2012,37479
12095,2013,37844
12097,1986,12894
12097,1987,13634
12097,1988,14554
12097,1989,15323
12097,1990,15114
12097,1991,14565
12097,1992,15215
12097,1993,15582
12097,1994,16125
12097,1995,16738
12097,1996,17381
12097,1997,18077
12097,1998,19037
12097,1999,19928
12097,2000,20826
12097,2001,21816
12097,2002,21312
12097,2003,21783
12097,2004,22386
12097,2005,23944
12097,2006,24712
12097,2007,25423
12097,2008,25839
12097,2009,25042
12097,2010,26162
12097,2011,26823
12097,2012,26865
12097,2013,27019
12099,1986,21994
12099,1987,23447
12099,1988,25308
12099,1989,27830
12099,1990,29653
12099,1991,30987
12099,1992,32056
12099,1993,33125
12099,1994,33703
12099,1995,35576
12099,1996,37350
12099,1997,38220
12099,1998,40462
12099,1999,41360
12099,2000,44596
12099,2001,44982
12099,2002,44949
12099,2003,44934
12099,2004,48671
12099,2005,51831
12099,2006,56336
12099,2007,59139
12099,2008,57321
12099,2009,50938
12099,2010,51111
12099,2011,54616
12099,2012,57252
12099,2013,57985
12101,1986,13146
12101,1987,13515
12101,1988,14417
12101,1989,15500
12101,1990,15876
12101,1991,15941
12101,1992,16616
12101,1993,17148
12101,1994,17844
12101,1995,18963
12101,1996,19597
12101,1997,20497
12101,1998,21282
12101,1999,21986
12101,2000,23272
12101,2001,23999
12101,2002,24478
12101,2003,25369
12101,2004,26249
12101,2005,27252
12101,2006,28645
12101,2007,29999
12101,2008,30249
12101,2009,29569
12101,2010,30944
12101,2011,32479
12101,2012,32318
12101,2013,32975
12103,1986,17609
12103,1987,18223
12103,1988,19250
12103,1989,21421
12103,1990,21528
12103,1991,21549
12103,1992,22429
12103,1993,24011
12103,1994,24390
12103,1995,25897
12103,1996,27072
12103,1997,28476
12103,1998,29942
12103,1999,30709
12103,2000,32973
12103,2001,33314
12103,2002,34317
12103,2003,35366
12103,2004,37534
12103,2005,40187
12103,2006,42674
12103,2007,43846
12103,2008,43602
12103,2009,40932
12103,2010,43197
12103,2011,45843
12103,2012,45037
12103,2013,45574
12105,1986,12858
12105,1987,13642
12105,1988,14710
12105,1989,15830
12105,1990,16191
12105,1991,16511
12105,1992,17154
12105,1993,17868
12105,1994,18938
12105,1995,20007
12105,1996,20896
12105,1997,21276
12105,1998,23002
12105,1999,23858
12105,2000,24582
12105,2001,25467
12105,2002,25686
12105,2003,26658
12105,2004,28792
12105,2005,30658
12105,2006,31867
12105,2007,32588
12105,2008,32758
12105,2009,31307
12105,2010,32893
12105,2011,34873
12105,2012,33647
12105,2013,34393
12107,1986,10677
12107,1987,10786
12107,1988,11690
12107,1989,12041
12107,1990,12560
12107,1991,12994
12107,1992,14067
12107,1993,14804
12107,1994,15030
12107,1995,16142
12107,1996,16288
12107,1997,16764
12107,1998,17349
12107,1999,18084
12107,2000,19152
12107,2001,20000
12107,2002,20472
12107,2003,21774
12107,2004,22349
12107,2005,23434
12107,2006,24383
12107,2007,25508
12107,2008,26479
12107,2009,26312
12107,2010,27725
12107,2011,28379
12107,2012,28090
12107,2013,28594
12109,1986,16955
12109,1987,18530
12109,1988,20543
12109,1989,22306
12109,1990,23345
12109,1991,23795
12109,1992,25661
12109,1993,26219
12109,1994,27154
12109,1995,28856
12109,1996,30410
12109,1997,32913
12109,1998,35861
12109,1999,37332
12109,2000,39417
12109,2001,39218
12109,2002,38784
12109,2003,39252
12109,2004,43083
12109,2005,45977
12109,2006,49498
12109,2007,51041
12109,2008,50935
12109,2009,46869
12109,2010,49029
